criterion "Is_bastille"	"who" "Medic2" required
criterion "Is_crash"	"who" "Tech1" required
criterion "Is_faith"	"who" "Medic1" required
criterion "Is_flynn"	"who" "Tech2" required
criterion "Is_jaeger"	"who" "Officer2" required
criterion "Is_sarge"	"who" "Officer1" required
criterion "Is_vegas"	"who" "Tech3" required
criterion "Is_wildcat"	"who" "Spec1" required
criterion "Is_wolfe"	"who" "Spec2" required

criterion "ConceptCHATTER_SELECTION"	"concept" "CHATTER_SELECTION" required
criterion "ConceptCHATTER_SELECTION_INJURED"	"concept" "CHATTER_SELECTION_INJURED" required
criterion "ConceptCHATTER_USE"	"concept" "CHATTER_USE" required
criterion "ConceptCHATTER_IDLE"	"concept" "CHATTER_IDLE" required
criterion "ConceptCHATTER_FRIENDLY_FIRE"	"concept" "CHATTER_FRIENDLY_FIRE" required
criterion "ConceptCHATTER_FIRING_AT_ALIEN"	"concept" "CHATTER_FIRING_AT_ALIEN" required
criterion "ConceptCHATTER_FOLLOW_ME"	"concept" "CHATTER_FOLLOW_ME" required
criterion "ConceptCHATTER_HOLD_POSITION"	"concept" "CHATTER_HOLD_POSITION" required
criterion "ConceptCHATTER_NEED_AMMO"	"concept" "CHATTER_NEED_AMMO" required
criterion "ConceptCHATTER_NO_AMMO"	"concept" "CHATTER_NO_AMMO" required
criterion "ConceptCHATTER_MEDIC"	"concept" "CHATTER_MEDIC" required
criterion "ConceptCHATTER_RELOADING"	"concept" "CHATTER_RELOADING" required
criterion "ConceptCHATTER_SENTRY"	"concept" "CHATTER_SENTRY" required
criterion "ConceptCHATTER_AMMO"	"concept" "CHATTER_AMMO" required
criterion "ConceptCHATTER_MEDKIT"	"concept" "CHATTER_MEDKIT" required
criterion "ConceptCHATTER_THANKS"	"concept" "CHATTER_THANKS" required
criterion "ConceptCHATTER_QUESTION"	"concept" "CHATTER_QUESTION" required
criterion "ConceptCHATTER_SARGE"	"concept" "CHATTER_SARGE" required
criterion "ConceptCHATTER_JAEGER"	"concept" "CHATTER_JAEGER" required
criterion "ConceptCHATTER_WILDCAT"	"concept" "CHATTER_WILDCAT" required
criterion "ConceptCHATTER_WOLFE"	"concept" "CHATTER_WOLFE" required
criterion "ConceptCHATTER_FAITH"	"concept" "CHATTER_FAITH" required
criterion "ConceptCHATTER_BASTILLE"	"concept" "CHATTER_BASTILLE" required
criterion "ConceptCHATTER_CRASH"	"concept" "CHATTER_CRASH" required
criterion "ConceptCHATTER_FLYNN"	"concept" "CHATTER_FLYNN" required
criterion "ConceptCHATTER_VEGAS"	"concept" "CHATTER_VEGAS" required
criterion "ConceptCHATTER_SUPPLIES"	"concept" "CHATTER_SUPPLIES" required
criterion "ConceptCHATTER_SUPPLIES_AMMO"	"concept" "CHATTER_SUPPLIES_AMMO" required
criterion "ConceptCHATTER_LOCKED_TERMINAL"	"concept" "CHATTER_LOCKED_TERMINAL" required
criterion "ConceptCHATTER_LOCKED_TERMINAL_CRASH"	"concept" "CHATTER_LOCKED_TERMINAL_CRASH" required
criterion "ConceptCHATTER_LOCKED_TERMINAL_FLYNN"	"concept" "CHATTER_LOCKED_TERMINAL_FLYNN" required
criterion "ConceptCHATTER_LOCKED_TERMINAL_VEGAS"	"concept" "CHATTER_LOCKED_TERMINAL_VEGAS" required
criterion "ConceptCHATTER_HOLDING_POSITION"	"concept" "CHATTER_HOLDING_POSITION" required
criterion "ConceptCHATTER_HOLDING_NORTH"	"concept" "CHATTER_HOLDING_NORTH" required
criterion "ConceptCHATTER_HOLDING_SOUTH"	"concept" "CHATTER_HOLDING_SOUTH" required
criterion "ConceptCHATTER_HOLDING_EAST"	"concept" "CHATTER_HOLDING_EAST" required
criterion "ConceptCHATTER_HOLDING_WEST"	"concept" "CHATTER_HOLDING_WEST" required
criterion "ConceptCHATTER_GOT_POINT"	"concept" "CHATTER_GOT_POINT" required
criterion "ConceptCHATTER_GOT_REAR"	"concept" "CHATTER_GOT_REAR" required
criterion "ConceptCHATTER_REQUEST_SEAL_DOOR"	"concept" "CHATTER_REQUEST_SEAL_DOOR" required
criterion "ConceptCHATTER_REQUEST_CUT_DOOR"	"concept" "CHATTER_REQUEST_CUT_DOOR" required
criterion "ConceptCHATTER_REQUEST_SHOOT_DOOR"	"concept" "CHATTER_REQUEST_SHOOT_DOOR" required
criterion "ConceptCHATTER_CUTTING_DOOR"	"concept" "CHATTER_CUTTING_DOOR" required
criterion "ConceptCHATTER_SEALING_DOOR"	"concept" "CHATTER_SEALING_DOOR" required
criterion "ConceptCHATTER_BIOMASS"	"concept" "CHATTER_BIOMASS" required
criterion "ConceptCHATTER_TIME_TO_LEAVE"	"concept" "CHATTER_TIME_TO_LEAVE" required
criterion "ConceptCHATTER_WATCH_OUT"	"concept" "CHATTER_WATCH_OUT" required
criterion "ConceptCHATTER_SHIELDBUG"	"concept" "CHATTER_SHIELDBUG" required
criterion "ConceptCHATTER_SHIELDBUG_HINT"	"concept" "CHATTER_SHIELDBUG_HINT" required
criterion "ConceptCHATTER_PARASITE"	"concept" "CHATTER_PARASITE" required
criterion "ConceptCHATTER_INFESTED"	"concept" "CHATTER_INFESTED" required
criterion "ConceptCHATTER_EGGS"	"concept" "CHATTER_EGGS" required
criterion "ConceptCHATTER_GRENADE"	"concept" "CHATTER_GRENADE" required
criterion "ConceptCHATTER_ALIEN_TOO_CLOSE"	"concept" "CHATTER_ALIEN_TOO_CLOSE" required
criterion "ConceptCHATTER_MAD_FIRING"	"concept" "CHATTER_MAD_FIRING" required
criterion "ConceptCHATTER_BREACHED_DOOR"	"concept" "CHATTER_BREACHED_DOOR" required
criterion "ConceptCHATTER_MARINE_DOWN"	"concept" "CHATTER_MARINE_DOWN" required
criterion "ConceptCHATTER_PAIN_SMALL"	"concept" "CHATTER_PAIN_SMALL" required
criterion "ConceptCHATTER_PAIN_LARGE"	"concept" "CHATTER_PAIN_LARGE" required
criterion "ConceptCHATTER_DIE"	"concept" "CHATTER_DIE" required
criterion "ConceptCHATTER_ON_FIRE"	"concept" "CHATTER_ON_FIRE" required
criterion "ConceptCHATTER_COMPLIMENTS"	"concept" "CHATTER_COMPLIMENTS" required
criterion "ConceptCHATTER_STIM_NOW"	"concept" "CHATTER_STIM_NOW" required
criterion "ConceptCHATTER_IMPATIENCE"	"concept" "CHATTER_IMPATIENCE" required
criterion "ConceptCHATTER_COMPLIMENTS_JAEGER"	"concept" "CHATTER_COMPLIMENTS_JAEGER" required
criterion "ConceptCHATTER_COMPLIMENTS_SARGE"	"concept" "CHATTER_COMPLIMENTS_SARGE" required
criterion "ConceptCHATTER_COMPLIMENTS_WILDCAT"	"concept" "CHATTER_COMPLIMENTS_WILDCAT" required
criterion "ConceptCHATTER_COMPLIMENTS_WOLFE"	"concept" "CHATTER_COMPLIMENTS_WOLFE" required
criterion "ConceptCHATTER_COMPLIMENTS_CRASH"	"concept" "CHATTER_COMPLIMENTS_CRASH" required
criterion "ConceptCHATTER_HEALING"	"concept" "CHATTER_HEALING" required
criterion "ConceptCHATTER_MEDS_LOW"	"concept" "CHATTER_MEDS_LOW" required
criterion "ConceptCHATTER_MEDS_NONE"	"concept" "CHATTER_MEDS_NONE" required
criterion "ConceptCHATTER_HACK_STARTED"	"concept" "CHATTER_HACK_STARTED" required
criterion "ConceptCHATTER_HACK_LONG_STARTED"	"concept" "CHATTER_HACK_LONG_STARTED" required
criterion "ConceptCHATTER_HACK_HALFWAY"	"concept" "CHATTER_HACK_HALFWAY" required
criterion "ConceptCHATTER_HACK_FINISHED"	"concept" "CHATTER_HACK_FINISHED" required
criterion "ConceptCHATTER_HACK_BUTTON_FINISHED"	"concept" "CHATTER_HACK_BUTTON_FINISHED" required
criterion "ConceptCHATTER_SCANNER"	"concept" "CHATTER_SCANNER" required
criterion "ConceptCHATTER_SCANNER_MULTIPLE"	"concept" "CHATTER_SCANNER_MULTIPLE" required
criterion "ConceptCHATTER_MINE_DEPLOYED"	"concept" "CHATTER_MINE_DEPLOYED" required
criterion "ConceptCHATTER_SYNUP_SPOTTED"	"concept" "CHATTER_SYNUP_SPOTTED" required
criterion "ConceptCHATTER_SYNUP_REPLY"	"concept" "CHATTER_SYNUP_REPLY" required
criterion "ConceptCHATTER_CRASH_COMPLAIN"	"concept" "CHATTER_CRASH_COMPLAIN" required
criterion "ConceptCHATTER_CRASH_COMPLAIN_REPLY"	"concept" "CHATTER_CRASH_COMPLAIN_REPLY" required
criterion "ConceptCHATTER_MEDIC_COMPLAIN"	"concept" "CHATTER_MEDIC_COMPLAIN" required
criterion "ConceptCHATTER_MEDIC_COMPLAIN_REPLY"	"concept" "CHATTER_MEDIC_COMPLAIN_REPLY" required
criterion "ConceptCHATTER_HEALING_CRASH"	"concept" "CHATTER_HEALING_CRASH" required
criterion "ConceptCHATTER_HEALING_CRASH_REPLY"	"concept" "CHATTER_HEALING_CRASH_REPLY" required
criterion "ConceptCHATTER_TEQUILA_START"	"concept" "CHATTER_TEQUILA_START" required
criterion "ConceptCHATTER_TEQUILA_REPLY"	"concept" "CHATTER_TEQUILA_REPLY" required
criterion "ConceptCHATTER_TEQUILA_REPLY_SARGE"	"concept" "CHATTER_TEQUILA_REPLY_SARGE" required
criterion "ConceptCHATTER_TEQUILA_REPLY_JAEGER"	"concept" "CHATTER_TEQUILA_REPLY_JAEGER" required
criterion "ConceptCHATTER_TEQUILA_REPLY_WILDCAT"	"concept" "CHATTER_TEQUILA_REPLY_WILDCAT" required
criterion "ConceptCHATTER_TEQUILA_REPLY_WOLFE"	"concept" "CHATTER_TEQUILA_REPLY_WOLFE" required
criterion "ConceptCHATTER_TEQUILA_REPLY_FAITH"	"concept" "CHATTER_TEQUILA_REPLY_FAITH" required
criterion "ConceptCHATTER_TEQUILA_REPLY_BASTILLE"	"concept" "CHATTER_TEQUILA_REPLY_BASTILLE" required
criterion "ConceptCHATTER_CRASH_IDLE"	"concept" "CHATTER_CRASH_IDLE" required
criterion "ConceptCHATTER_CRASH_IDLE_REPLY"	"concept" "CHATTER_CRASH_IDLE_REPLY" required
criterion "ConceptCHATTER_SERIOUS_INJURY"	"concept" "CHATTER_SERIOUS_INJURY" required
criterion "ConceptCHATTER_SERIOUS_INJURY_REPLY"	"concept" "CHATTER_SERIOUS_INJURY_REPLY" required
criterion "ConceptCHATTER_SERIOUS_INJURY_FOLLOW_UP"	"concept" "CHATTER_SERIOUS_INJURY_FOLLOW_UP" required
criterion "ConceptCHATTER_STILL_BREATHING"	"concept" "CHATTER_STILL_BREATHING" required
criterion "ConceptCHATTER_STILL_BREATHING_REPLY"	"concept" "CHATTER_STILL_BREATHING_REPLY" required
criterion "ConceptCHATTER_SARGE_IDLE"	"concept" "CHATTER_SARGE_IDLE" required
criterion "ConceptCHATTER_SARGE_IDLE_REPLY"	"concept" "CHATTER_SARGE_IDLE_REPLY" required
criterion "ConceptCHATTER_BIG_ALIEN_DEAD"	"concept" "CHATTER_BIG_ALIEN_DEAD" required
criterion "ConceptCHATTER_BIG_ALIEN_REPLY"	"concept" "CHATTER_BIG_ALIEN_REPLY" required
criterion "ConceptCHATTER_AUTOGUN"	"concept" "CHATTER_AUTOGUN" required
criterion "ConceptCHATTER_AUTOGUN_REPLY"	"concept" "CHATTER_AUTOGUN_REPLY" required
criterion "ConceptCHATTER_WOLFE_BEST"	"concept" "CHATTER_WOLFE_BEST" required
criterion "ConceptCHATTER_WOLFE_BEST_REPLY"	"concept" "CHATTER_WOLFE_BEST_REPLY" required
criterion "ConceptCHATTER_FIRST_BLOOD_START"	"concept" "CHATTER_FIRST_BLOOD_START" required
criterion "ConceptCHATTER_FIRST_BLOOD_WIN"	"concept" "CHATTER_FIRST_BLOOD_WIN" required
criterion "ConceptCHATTER_SARGE_JAEGER_CONV_1"	"concept" "CHATTER_SARGE_JAEGER_CONV_1" required
criterion "ConceptCHATTER_SARGE_JAEGER_CONV_1_REPLY"	"concept" "CHATTER_SARGE_JAEGER_CONV_1_REPLY" required
criterion "ConceptCHATTER_SARGE_JAEGER_CONV_2"	"concept" "CHATTER_SARGE_JAEGER_CONV_2" required
criterion "ConceptCHATTER_SARGE_JAEGER_CONV_2_REPLY"	"concept" "CHATTER_SARGE_JAEGER_CONV_2_REPLY" required
criterion "ConceptCHATTER_WILDCAT_KILL"	"concept" "CHATTER_WILDCAT_KILL" required
criterion "ConceptCHATTER_WILDCAT_KILL_REPLY_AHEAD"	"concept" "CHATTER_WILDCAT_KILL_REPLY_AHEAD" required
criterion "ConceptCHATTER_WILDCAT_KILL_REPLY_BEHIND"	"concept" "CHATTER_WILDCAT_KILL_REPLY_BEHIND" required
criterion "ConceptCHATTER_WOLFE_KILL"	"concept" "CHATTER_WOLFE_KILL" required
criterion "ConceptCHATTER_WOLFE_KILL_REPLY_AHEAD"	"concept" "CHATTER_WOLFE_KILL_REPLY_AHEAD" required
